X_ext,Y_ext,X_int,Y_int,X_central,Y_central
24.0,51.0,31.0,37.0,27.0,17.0
24.0,51.0,31.0,37.0,27.0,17.0
24.0,51.0,32.0,37.0,27.0,17.0
24.0,51.0,32.0,37.0,27.0,17.0
26.0,51.0,32.0,37.0,27.0,17.0
26.0,51.0,33.0,37.0,27.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,51.0,33.0,37.0,29.0,17.0
26.0,50.0,33.0,37.0,29.0,17.0
26.0,50.0,33.0,37.0,29.0,17.0
27.0,50.0,33.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,34.0,37.0,30.0,17.0
27.0,50.0,35.0,37.0,30.0,17.0
27.0,50.0,35.0,37.0,30.0,17.0
28.0,50.0,35.0,37.0,30.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,35.0,37.0,32.0,17.0
29.0,49.0,36.0,37.0,32.0,17.0
29.0,49.0,36.0,37.0,32.0,17.0
30.0,48.0,36.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
30.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,33.0,16.0
31.0,48.0,37.0,37.0,35.0,15.0
31.0,48.0,38.0,37.0,35.0,15.0
32.0,48.0,38.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
32.0,48.0,39.0,37.0,35.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
33.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
34.0,47.0,39.0,37.0,36.0,15.0
35.0,47.0,41.0,38.0,36.0,15.0
35.0,47.0,41.0,38.0,37.0,13.0
35.0,47.0,41.0,38.0,37.0,13.0
35.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,37.0,13.0
36.0,47.0,41.0,38.0,38.0,12.0
37.0,48.0,41.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
37.0,48.0,43.0,38.0,38.0,12.0
39.0,48.0,43.0,38.0,38.0,12.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
39.0,48.0,43.0,38.0,39.0,11.0
40.0,48.0,43.0,38.0,39.0,11.0
40.0,48.0,45.0,39.0,39.0,11.0
40.0,48.0,45.0,39.0,40.0,10.0
40.0,48.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
40.0,49.0,45.0,39.0,40.0,10.0
41.0,49.0,45.0,39.0,40.0,10.0
41.0,49.0,45.0,39.0,40.0,10.0
